City Name,Country,Cloudiness (%),Humidity (%),Temperature (F),Wind Speed (mph),Latitude,Longitude
Hobart,AU,75,68,66.94,12.75,-42.88,147.33
Puerto Ayora,EC,75,65,79.36,12.75,-0.74,-90.35
Hilo,US,90,57,74.75,6.93,19.71,-155.08
Dudinka,RU,92,92,12.2,20.13,69.41,86.18
Butaritari,KI,100,76,84.87,18.25,3.07,172.79
Ushtobe,KZ,97,78,21.54,2.66,45.25,77.98
Saint-Philippe,CA,40,85,16.52,3.36,45.36,-73.48
Hithadhoo,MV,100,76,83.32,11.63,-0.6,73.08
Staraya Toropa,RU,95,91,28.94,5.88,56.28,31.67
Yumen,CN,20,69,15.26,10.56,40.29,97.04
Port Augusta,AU,0,53,77.81,9.17,-32.49,137.76
Bredasdorp,ZA,94,77,63.41,2.24,-34.53,20.04
Bluff,AU,60,56,83.55,13.71,-23.58,149.07
Kaitangata,NZ,0,53,57.99,15.01,-46.28,169.85
Tual,ID,100,77,82.62,10.94,-5.67,132.75
Mount Isa,AU,100,38,93.2,5.82,-20.73,139.49
Burnie,AU,92,55,71.51,4.0,-41.05,145.91
Manakara,MG,83,93,73.8,1.92,-22.14,48.01
Kodiak,US,75,64,34.63,5.82,39.95,-94.76
Faanui,PF,68,78,82.33,15.01,-16.48,-151.75
Kapaa,US,75,74,79.05,17.22,22.08,-159.32
Barrow,AR,32,62,59.86,7.99,-38.31,-60.23
Mataura,NZ,88,67,57.0,8.99,-46.19,168.86
Airai,TL,99,63,76.66,3.31,-8.93,125.41
Cabo San Lucas,MX,5,53,74.17,11.41,22.89,-109.91
Asyut,EG,0,70,46.4,13.87,27.18,31.19
Tasiilaq,GL,100,93,21.58,32.88,65.61,-37.64
Shenjiamen,CN,55,93,61.84,23.09,29.96,122.3
Belyy Yar,RU,90,84,-0.4,2.17,53.6,91.39
Ushuaia,AR,75,66,50.0,6.93,-54.81,-68.31
Port Alfred,ZA,100,97,68.0,9.04,-33.59,26.89
Rikitea,PF,95,74,76.91,12.15,-23.12,-134.97
Atuona,PF,0,70,80.55,12.33,-9.8,-139.03
Carnarvon,ZA,90,68,65.91,13.02,-30.97,22.13
Punta Arenas,CL,90,81,54.12,16.11,-53.16,-70.91
Coihaique,CL,90,71,55.4,5.82,-45.58,-72.07
New Norfolk,AU,75,68,66.92,12.75,-42.78,147.06
Vaini,IN,4,97,64.33,5.06,15.34,74.49
Ribeira Grande,PT,97,94,61.52,17.6,38.52,-28.7
Upernavik,GL,100,84,-4.34,6.71,72.79,-56.15
Qaanaaq,GL,45,62,-13.86,10.8,77.48,-69.36
Caernarfon,GB,13,87,44.98,9.17,53.14,-4.27
Chokurdakh,RU,14,99,-22.41,2.77,70.62,147.9
Tabou,CI,0,70,71.53,2.8,4.42,-7.36
Cape Town,ZA,99,68,66.7,19.46,-33.93,18.42
Hasaki,JP,75,69,39.87,6.93,35.73,140.83
Auce,LV,91,96,38.62,9.64,56.47,22.9
Vostok,RU,89,79,10.24,2.71,46.45,135.83
Yellowknife,CA,75,74,-22.0,6.93,62.45,-114.38
Port Macquarie,AU,58,61,86.49,10.29,-31.43,152.91
Avera,US,1,76,51.42,6.2,33.19,-82.53
Busselton,AU,0,57,72.46,1.01,-33.64,115.35
Khuzdar,PK,100,68,47.93,5.5,27.8,66.62
Kloulklubed,PW,75,69,82.4,17.22,7.04,134.26
Wucheng,CN,0,89,59.41,2.57,29.09,119.57
Antalaha,MG,100,80,80.67,8.61,-14.9,50.28
Kulhudhuffushi,MV,86,79,82.11,13.62,6.62,73.07
